visibility_level,LAT,LONG,Type,Quality,Valid,name_code,NOT_WATER
4,21.787351,82.777573,NGO,4,True,WAQV,True
5,23.568071,81.165663,Trust,3,True,CFEL,True
2,27.525886,78.371615,NGO,3,True,EBBN,True
4,31.461636,82.689719,Charity,5,True,ASQE,True
4,14.897953,90.153253,Trust,2,True,PXQG,False
1,29.789058,93.476903,NGO,1,True,GDGP,True
1,25.955877,71.375687,Trust,5,True,JJCW,True
5,30.685317,81.962973,Trust,3,True,HGGS,True
2,22.652402,79.479283,Trust,3,True,PVNK,True
3,13.690133,73.156849,Trust,1,True,HOUJ,False
2,22.187366,93.516585,Charity,5,False,CVTD,True
4,33.858371,73.059579,Charity,4,False,IBOD,True
5,31.206344,77.799761,Charity,3,False,TJIV,True
5,32.493742,80.080127,NGO,4,True,CYSH,True
2,22.906927,77.474996,Trust,2,True,JMDW,True
3,18.640545,79.178344,Trust,5,True,DWVG,True
5,25.940857,73.839417,Charity,4,True,UKPS,True
5,19.18778,91.079046,Charity,1,True,OQAD,False
1,12.572796,88.456574,Charity,4,True,DJRP,False
5,24.449965,92.254227,NGO,5,False,EPAL,True
1,11.034714,83.705937,NGO,3,True,YAZT,False
3,21.015564,76.613133,NGO,4,True,XNZM,True
2,31.78124,93.80214,NGO,3,True,MHFH,True
3,11.737662,73.857834,NGO,2,True,WXHQ,False
5,21.042389,83.511059,Charity,5,True,OLXG,True
2,16.599005,72.026027,Charity,1,True,RDLU,False
5,24.822177,83.134421,NGO,1,True,JZWB,True
5,19.035165,75.088547,NGO,1,True,EMKV,True
4,18.548545,90.419883,Charity,4,True,XNTP,False
3,20.172947,93.583717,Trust,3,False,EHXZ,True
4,30.899849,86.609447,NGO,3,True,YFLS,True
3,19.620531,72.252243,Charity,2,True,UYDV,False
5,18.739684,81.102169,NGO,1,True,YSWP,True
2,23.048558,70.039242,Trust,5,True,RNLM,True
3,31.771467,79.417796,Charity,1,True,XRPV,True
1,10.120444,71.583794,NGO,3,True,LVKW,False
3,21.539555,76.342331,Charity,3,True,SNKA,True
