visibility_level,LAT,LONG,Type,Quality,Valid,name_code
4,21.787351,82.777573,NGO,4,True,WAQV
5,23.568071,81.165663,Trust,3,True,CFEL
2,27.525886,78.371615,NGO,3,True,EBBN
4,31.461636,82.689719,Charity,5,True,ASQE
4,14.897953,90.153253,Trust,2,True,PXQG
1,29.789058,93.476903,NGO,1,True,GDGP
1,25.955877,71.375687,Trust,5,True,JJCW
5,30.685317,81.962973,Trust,3,True,HGGS
2,22.652402,79.479283,Trust,3,True,PVNK
3,13.690133,73.156849,Trust,1,True,HOUJ
2,22.187366,93.516585,Charity,5,False,CVTD
4,33.858371,73.059579,Charity,4,False,IBOD
5,31.206344,77.799761,Charity,3,False,TJIV
5,32.493742,80.080127,NGO,4,True,CYSH
2,22.906927,77.474996,Trust,2,True,JMDW
3,18.640545,79.178344,Trust,5,True,DWVG
5,25.940857,73.839417,Charity,4,True,UKPS
5,19.18778,91.079046,Charity,1,True,OQAD
1,12.572796,88.456574,Charity,4,True,DJRP
5,24.449965,92.254227,NGO,5,False,EPAL
1,11.034714,83.705937,NGO,3,True,YAZT
3,21.015564,76.613133,NGO,4,True,XNZM
2,31.78124,93.80214,NGO,3,True,MHFH
3,11.737662,73.857834,NGO,2,True,WXHQ
5,21.042389,83.511059,Charity,5,True,OLXG
2,16.599005,72.026027,Charity,1,True,RDLU
5,24.822177,83.134421,NGO,1,True,JZWB
5,19.035165,75.088547,NGO,1,True,EMKV
4,18.548545,90.419883,Charity,4,True,XNTP
3,20.172947,93.583717,Trust,3,False,EHXZ
4,30.899849,86.609447,NGO,3,True,YFLS
3,19.620531,72.252243,Charity,2,True,UYDV
5,18.739684,81.102169,NGO,1,True,YSWP
2,23.048558,70.039242,Trust,5,True,RNLM
3,31.771467,79.417796,Charity,1,True,XRPV
1,10.120444,71.583794,NGO,3,True,LVKW
3,21.539555,76.342331,Charity,3,True,SNKA
2,12.265806,74.074637,NGO,3,True,TJGE
3,14.374025,90.650249,Charity,5,True,KOMK
5,12.074394,93.284042,Charity,2,True,BWRE
4,15.006285,89.206654,Trust,1,True,ZECB
2,29.658086,84.859878,Charity,2,True,FTGK
4,18.822885,79.552705,Charity,4,False,ZBOZ
2,31.703634,93.579656,Trust,4,True,IVAQ
2,20.640311,87.959825,Charity,3,False,OVZA
1,29.51349,80.082574,NGO,3,True,XAAR
3,22.264393,84.367114,NGO,3,True,BOMQ
3,11.438051,74.113255,Charity,2,True,CLBM
2,26.830604,71.006257,NGO,1,True,LXYK
2,30.440306,93.733432,Trust,1,False,QNTG
1,13.955652,92.112794,Trust,5,True,GVZG
5,19.056013,78.18203,Charity,5,True,JRQL
1,19.46157,85.647451,Charity,1,True,DEAY
3,19.426963,70.554244,NGO,5,True,PYWV
2,25.57008,81.155995,Charity,4,False,OMHJ
4,31.984319,75.368331,NGO,3,True,AFPB
3,12.29858,80.648534,Charity,4,True,NXOL
5,27.663857,82.036758,NGO,2,True,FGSV
3,32.883424,79.095268,NGO,3,True,MMCP
1,28.11957,91.022501,Trust,1,False,EXXC
4,22.218177,83.297766,Charity,2,False,HETC
3,25.00143,71.157788,NGO,2,True,ICZT
5,11.160033,85.691734,NGO,1,True,JVCA
4,21.701211,86.581381,NGO,3,True,QEJP
1,24.537836,75.062165,Trust,5,True,IYPC
5,22.499535,74.613562,Trust,3,True,CQKI
4,27.179744,79.934055,NGO,3,True,BEWL
3,26.235355,87.814518,Charity,4,True,FWZQ
2,33.407897,80.885826,NGO,4,False,IVLT
2,17.696498,78.787066,Charity,4,True,ZBMU
2,16.71616,88.520266,Charity,5,True,KBVJ
5,17.750893,85.090012,NGO,5,True,EJDQ
5,13.513051,75.52338,NGO,1,True,GLEH
2,28.776901,79.365857,NGO,1,True,CJPV
2,14.1275,85.633681,Charity,5,False,TBSU
1,28.252319,75.013895,Charity,1,True,FSWW
4,10.290294,90.039364,NGO,5,True,QPGV
5,11.12037,74.099482,Trust,3,True,XHZX
2,11.111457,80.58495,NGO,3,True,AENW
5,19.790308,73.493886,Charity,3,True,NFOX
2,30.150943,86.100515,NGO,5,True,VXNV
2,22.350829,76.935964,Charity,2,True,JHWQ
5,30.613456,90.476966,Charity,5,False,FJKR
1,18.029049,84.728814,NGO,3,False,POIQ
5,31.7657,90.310513,Charity,1,True,GNQV
4,12.844047,75.018711,Trust,3,True,SXAU
2,21.220092,71.997814,Charity,1,True,GXUN
2,13.16586,72.159484,Trust,1,True,STQE
5,14.351703,83.270688,Trust,4,True,HWRK
2,33.528652,83.256283,Charity,1,False,ZQEL
1,15.227997,84.163423,NGO,1,True,PPQN
4,27.697244,91.972996,NGO,2,True,WHVX
1,29.273811,85.184027,Charity,3,True,KFQH
5,30.723645,86.754618,NGO,4,True,YIZV
2,25.430464,80.575031,Trust,2,True,KLSG
1,27.884086,72.524226,NGO,1,True,FRNE
1,26.508456,77.808692,Charity,2,True,ZXKC
2,28.610037,79.701234,Charity,5,True,MTCW
1,20.492695,77.407554,Charity,3,True,WUBN
5,29.082407,75.826478,Trust,1,True,BWGQ
4,16.370213,87.547275,Charity,3,True,MWPS
2,31.514922,75.893959,Charity,4,True,BKPW
1,15.723429,84.87744,Charity,3,True,EJBF
1,15.590587,79.500041,Charity,1,True,FVJL
3,19.083045,92.20511,NGO,4,True,YIHO
3,33.122338,70.054053,Charity,2,False,MRWS
1,15.646135,71.680654,Charity,4,True,CJPD
3,30.280772,84.07452,Trust,3,False,EYNB
4,16.597668,71.642166,NGO,3,False,TQDS
3,17.731597,85.529442,NGO,4,False,XKYV
3,33.571401,78.716273,Trust,5,True,ETQB
1,15.579014,75.592799,Trust,5,True,MRXK
3,31.206612,93.317021,NGO,4,True,EROJ
1,24.528559,72.995882,NGO,1,True,OERP
3,26.622159,87.860456,NGO,4,True,WJAD
5,30.795798,88.159567,Charity,5,True,DKDO
5,27.390503,74.383684,NGO,3,False,VTXC
2,17.834483,81.487371,Trust,2,True,XQML
3,28.45904,74.756907,Trust,5,True,BFSF
5,21.370695,71.286204,NGO,3,True,VTRO
1,33.1785,93.532973,Charity,4,True,YDRW
5,13.164129,77.923896,Charity,2,True,IUKK
4,18.828258,88.114467,Charity,3,True,PEUD
1,23.209718,93.010285,Charity,3,False,GXVO
5,15.173313,73.525929,Trust,5,False,MDJI
3,26.501655,91.076732,Trust,2,True,YQWP
3,10.24155,70.35996,Trust,2,True,WOPR
2,32.118365,71.101223,Charity,5,True,YWVV
4,18.178615,76.979026,Trust,3,True,VASG
2,15.461502,72.65129,Trust,1,True,UYJP
2,33.711628,88.410146,Trust,2,True,BYCE
3,20.906644,86.914163,Trust,4,False,TGTD
4,24.975065,91.962956,NGO,3,False,YVNH
1,27.163756,71.380449,Charity,3,False,FRRB
1,25.525282,93.071319,Trust,1,True,ZDZC
1,14.869614,74.859937,Trust,3,True,BLQE
3,30.378482,71.940137,Charity,5,True,YMFT
5,13.835274,84.910877,Trust,5,True,WBQQ
2,18.400307,76.317096,Charity,1,True,CFZU
3,24.525315,70.684091,NGO,1,True,XNOZ
3,21.760935,81.74455,Charity,5,True,VYMW
3,13.787939,79.486446,NGO,3,True,BDQJ
1,17.779299,76.585658,Charity,5,True,QLOP
1,29.036843,77.848738,NGO,4,True,TMTF
3,28.499868,74.714688,Trust,5,True,XGPL
2,20.778458,76.938319,Trust,5,True,YFBR
1,15.251509,74.327228,NGO,4,True,VBBT
